"metagenomeID","sampleID","startDate","depth","volumeFiltered"
"BLI20_MG_001","BLiMMP_sample_0046","2020-09-02","20.7","492"
"BLI20_MG_002","BLiMMP_sample_0048","2020-09-02","15.5","582"
"BLI20_MG_003","BLiMMP_sample_0050","2020-09-02","11.0","520?"
"BLI20_MG_004","BLiMMP_sample_0062","2020-10-10","20.9","470"
"BLI20_MG_005","BLiMMP_sample_0064","2020-10-10","15.7","460"
"BLI21_MG_103","BLiMMP_sample_0077","2021-09-10","19.9","533"
"BLI21_MG_104","BLiMMP_sample_0081","2021-10-14","14.2","334"
"BLI21_MG_112","BLiMMP_sample_0077","2021-09-10","19.9","544"
"BLI21_MG_102","BLiMMP_sample_0074","2021-09-10","11.9","481"
"BLI21_MG_107","BLiMMP_sample_0081","2021-10-14","14.2","314"
"BLI21_MG_101","BLiMMP_sample_0073","2021-09-10","10.8","205"
"BLI21_MG_111","BLiMMP_sample_0074","2021-09-10","11.9","547"
"BLI21_MG_106","BLiMMP_sample_0085","2021-10-14","19.9","528"
"BLI21_MG_108","BLiMMP_sample_0082","2021-10-14","15.2","649"
"BLI21_MG_105","BLiMMP_sample_0082","2021-10-14","15.2","639"
"BLI21_MG_109","BLiMMP_sample_0073","2021-09-10","10.8","231"
"BLI21_MG_110","BLiMMP_sample_0085","2021-10-14","19.9","601"
